연월(YYYYMM),서울관광지_코드(SLTA_CD),서울관광지_명(SLTA_NM),요일_구분(DAY_TYPE),매출_고객_수(SALE_CUST_CNT),매출_건수(SALE_CNT),매출_액(SALE_AMT),매출_순위(SALE_AMT_RNK),위도,경도,평점,리뷰수
202412,SLTA084,보신각,전체,3835210,3835210,115000000000.0,2,37.5697599,126.9836604,4.2,2298.0
202412,SLTA085,청계천_청계광장,전체,2826122,2899040,100000000000.0,3,37.5691686,126.9780272,4.4,8338.0
202412,SLTA093,시청·서울광장,전체,2985425,2985425,87133535574.0,4,37.5655675,126.978014,4.3,3399.0
202412,SLTA094,덕수궁,전체,2283892,2283892,66402228751.0,6,37.5658862,126.9749017,4.6,19941.0
202412,SLTA075,종묘,전체,1743484,1807590,66311580400.0,7,37.5746313,126.9938158,4.5,1153.0
202412,SLTA078,조계사,전체,2233475,2233475,62498485512.0,8,37.5738369,126.982202,4.5,7691.0
202412,SLTA082,대한민국역사박물관,전체,2199802,2199802,55735751908.0,13,37.5739432,126.9779299,4.5,3710.0
202412,SLTA081,광화문광장,전체,2195212,2195212,55710332439.0,14,37.572389,126.9769117,4.5,13604.0
202412,SLTA068,서울역사박물관_경희궁,전체,1351547,1351547,40970834774.0,21,37.5712378,126.9681688,4.5,5238.0
202412,SLTA092,명동거리,전체,1182672,1223478,39702719282.0,23,37.5637699,126.9844765,4.4,25473.0
202412,SLTA070,경복궁,전체,1632347,1632347,39187164000.0,24,,,4.6,45260.0
202412,SLTA089,한국의집_고호재,전체,1459513,1459513,39135198464.0,25,37.5135332,127.1044319,4.4,1921.0
202412,SLTA088,동대문디자인플라자(DDP),전체,1376919,1376919,38501970304.0,26,37.5665256,127.0092236,4.3,30882.0
202412,SLTA083,창경궁_창덕궁,전체,920569,924386,29529232512.0,34,37.5794309,126.9910426,4.7,4551.0
202412,SLTA077,인사동,전체,899066,899066,28769979240.0,36,37.5717174,126.9860732,,
202412,SLTA072,동묘벼룩시장,전체,1178025,1215738,26551722349.0,43,37.5732171,127.0176409,4.0,5090.0
202412,SLTA090,남산골한옥마을,전체,849927,860666,22468428525.0,48,37.559315,126.994477,4.4,10082.0
202412,SLTA071,서촌카페거리,전체,628867,628867,22216725429.0,49,37.5786683,126.973107,,
202412,SLTA091,을지로3가_을지로골뱅이골목,전체,464767,479346,13840934989.0,59,37.5656427,126.989916,3.6,58.0
202412,SLTA080,익선동,전체,373841,374112,13734979969.0,60,37.5743484,126.9897057,,
202412,SLTA074,광장시장,전체,207391,207391,9158334436.0,68,37.5700398,126.9996036,4.2,43600.0
202412,SLTA087,평화시장,전체,120270,120270,6232911014.0,73,37.5694646,127.0080852,4.0,511.0
202412,SLTA067,부암동,전체,288435,288435,5680099365.0,75,37.5975499,126.9624425,,
202412,SLTA073,동대문종합시장,전체,160831,167817,5196730792.0,77,37.5707806,127.0081119,4.2,2344.0
202412,SLTA079,낙원악기상가,전체,76764,79630,4567636202.0,79,37.5726662,126.9878079,4.1,2444.0
202412,SLTA069,청와대,전체,167657,170285,4077003409.0,81,37.5866076,126.974811,4.3,6596.0
202412,SLTA086,신당중앙시장,전체,112683,116132,3935390683.0,82,37.565803,127.019403,4.0,2818.0
202412,SLTA076,세운상가_다시세운광장,전체,35158,37371,1708466011.0,87,37.5697077,126.995225,3.9,1717.0
